;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Cred. Aprob.;Código Carrera Nacional;Año Proceso;Sexo;Grupo Dependencia;Domicilio Región;Preferencia;Selección;Tipo Selección;Puntaje Ponderado;Puntaje Matemáticas;Puntaje Ranking;Puntaje NEM;Puntaje Lenguaje;Puntaje Ciencias
0;13064;2013;MASCULINO;MUNICIPAL;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;583,55;573;599;599;605;568
0;13062;2013;MASCULINO;MUNICIPAL;REGION DEL BIOBIO;1;RATIFICADO;1ER. LLAMADO;664,25;634;764;764;685;568
0;13064;2013;MASCULINO;DESCONOCIDO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;571,45;600;619;599;460;538
0;13064;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;585,55;592;589;580;583;572
0;13062;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;1;RATIFICADO;1ER. LLAMADO;615,3;637;642;599;616;548
0;13062;2013;MASCULINO;DESCONOCIDO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;604,9;623;568;558;671;556
0;13062;2013;FEMENINO;PARTICULAR PAGADO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;600,8;561;641;641;635;619
0;13071;2013;MASCULINO;MUNICIPAL;REGION DEL BIOBIO;4;RATIFICADO;1ER. LLAMADO;647,35;630;760;703;642;574
0;13064;2013;FEMENINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;5;RATIFICADO;1ER. LLAMADO;572,55;570;558;558;617;560
0;13062;2013;MASCULINO;MUNICIPAL;REGION DEL BIOBIO;1;RATIFICADO;1ER. LLAMADO;601,35;606;591;558;641;598
0;13068;2013;FEMENINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;2;RATIFICADO;1ER. LLAMADO;650,5;624;850;743;641;514
0;13070;2013;MASCULINO;DESCONOCIDO;REGION DEL BIOBIO;5;RATIFICADO;1ER. LLAMADO;645,3;686;696;661;551;568
0;13063;2013;MASCULINO;DESCONOCIDO;REGION DEL BIOBIO;2;RATIFICADO;1ER. LLAMADO;600,4;648;619;599;527;520
0;13062;2013;FEMENINO;DESCONOCIDO;REGION DEL BIOBIO;1;RATIFICADO;1ER. LLAMADO;603;637;558;558;611;568
0;13073;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION METROPOLITANA DE SANTIAGO;3;RATIFICADO;1ER. LLAMADO;630,65;651;620;620;616;602
0;13068;2013;FEMENINO;PARTICULAR SUBVENCIONADO;REGION DE LA ARAUCANIA;3;RATIFICADO;1ER. LLAMADO;631,6;623;694;641;611;627
0;13064;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;563,4;565;558;558;589;542
0;13068;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;2;RATIFICADO;1ER. LLAMADO;614,15;617;599;599;662;583
0;13063;2013;MASCULINO;PARTICULAR SUBVENCIONADO;REGION DEL BIOBIO;3;RATIFICADO;1ER. LLAMADO;588,85;600;655;620;540;529
